client_id,account_id,transaction_id,type,amount,date,description
demo-user,demo-user-roth,tx-demo-user-0010,contribution,4940.23,2026-01-16,Contribution — Roth IRA
demo-user,demo-user-roth,tx-demo-user-0002,rebalance,378.93,2026-01-15,Rebalance — Roth IRA
demo-user,demo-user-roth,tx-demo-user-0008,contribution,3885.07,2025-12-19,Contribution — Roth IRA
demo-user,demo-user-brokerage,tx-demo-user-0003,dividend,3258.03,2025-12-18,Dividend — Individual Brokerage
demo-user,demo-user-401k,tx-demo-user-0004,rebalance,3098.6,2025-12-15,Rebalance — Traditional 401(k)
demo-user,demo-user-roth,tx-demo-user-0006,sell,-220.7,2025-12-15,Sell — Roth IRA
demo-user,demo-user-401k,tx-demo-user-0001,contribution,2372.65,2025-11-25,Contribution — Traditional 401(k)
demo-user,demo-user-brokerage,tx-demo-user-0005,dividend,2576.1,2025-11-21,Dividend — Individual Brokerage
demo-user,demo-user-brokerage,tx-demo-user-0000,contribution,288.1,2025-10-09,Contribution — Individual Brokerage
demo-user,demo-user-401k,tx-demo-user-0009,sell,-245.36,2025-10-05,Sell — Traditional 401(k)
demo-user,demo-user-401k,tx-demo-user-0011,sell,-369.09,2025-10-04,Sell — Traditional 401(k)
demo-user,demo-user-roth,tx-demo-user-0007,rebalance,1310.11,2025-09-07,Rebalance — Roth IRA
young-professional,young-professional-401k,tx-young-professional-0007,rebalance,4452.55,2026-02-27,Rebalance — Traditional 401(k)
young-professional,young-professional-brokerage,tx-young-professional-0004,contribution,4710.02,2026-01-12,Contribution — Individual Brokerage
young-professional,young-professional-brokerage,tx-young-professional-0010,rebalance,4178.47,2025-12-30,Rebalance — Individual Brokerage
young-professional,young-professional-brokerage,tx-young-professional-0006,buy,4501.33,2025-12-22,Buy — Individual Brokerage
young-professional,young-professional-brokerage,tx-young-professional-0001,sell,-4448.08,2025-12-21,Sell — Individual Brokerage
young-professional,young-professional-roth,tx-young-professional-0000,contribution,4778.37,2025-11-06,Contribution — Roth IRA
young-professional,young-professional-brokerage,tx-young-professional-0009,buy,431.96,2025-10-21,Buy — Individual Brokerage
young-professional,young-professional-brokerage,tx-young-professional-0002,buy,3941.4,2025-10-12,Buy — Individual Brokerage
young-professional,young-professional-brokerage,tx-young-professional-0008,rebalance,2947.29,2025-10-10,Rebalance — Individual Brokerage
young-professional,young-professional-roth,tx-young-professional-0003,sell,-1488.25,2025-10-08,Sell — Roth IRA
young-professional,young-professional-brokerage,tx-young-professional-0011,rebalance,4477.39,2025-10-01,Rebalance — Individual Brokerage
young-professional,young-professional-brokerage,tx-young-professional-0005,rebalance,2749.67,2025-09-13,Rebalance — Individual Brokerage
mid-career,mid-career-roth,tx-mid-career-0009,rebalance,1559.62,2026-02-23,Rebalance — Roth IRA
mid-career,mid-career-401k,tx-mid-career-0010,sell,-211.21,2026-02-13,Sell — Traditional 401(k)
mid-career,mid-career-401k,tx-mid-career-0004,contribution,804.43,2026-01-28,Contribution — Traditional 401(k)
mid-career,mid-career-401k,tx-mid-career-0007,contribution,4847.26,2026-01-28,Contribution — Traditional 401(k)
mid-career,mid-career-401k,tx-mid-career-0002,rebalance,4623.1,2026-01-16,Rebalance — Traditional 401(k)
